股票代码,股票名称,占净值比例,子赛道,角色,公司类型
000063,中兴通讯,8.78,通信设备,A 股通信设备龙头,纯暴露
300308,中际旭创,7.04,光模块,全球 1.6T 龙头,纯暴露
300502,新易盛,5.54,光模块,800G/1.6T 第二,纯暴露
000938,紫光股份,4.99,ICT 综合,新华三/服务器,多元
300408,三环集团,4.23,陶瓷封装,光通信陶瓷套管,多元
002179,中航光电,4.15,光电连接器,军用 + 通信 + 新能源车,多元
600584,长电科技,3.99,封测,全球第三封测,多元
002384,东山精密,3.56,PCB,苹果 FPC + 服务器 PCB,多元
002463,沪电股份,3.5,服务器/通信 PCB,AI 服务器 PCB 核心,多元
688036,传音控股,3.29,其他,辅助仓位 - 传音控股,多元
688750,金天钛业,0.1,其他,辅助仓位 - 金天钛业,边缘
001356,富岭股份,0.03,其他,辅助仓位 - 富岭股份,边缘
603072,天和磁材,0.03,其他,辅助仓位 - 天和磁材,边缘
688449,联芸科技,0.02,其他,辅助仓位 - 联芸科技,边缘
688605,先锋精科,0.02,其他,辅助仓位 - 先锋精科,边缘
