source_id,claim_area,claim_type,claim_text,source_speaker,verification_status,authority_level,source_date,as_of_date,url_or_path,used_by_agent,used_by_skill,confidence,upstream_sources,notes,evidence_category,freshness_status,conflict_status,treatment,readiness_impact
CLM-001,portfolio,fact,008327 通信 ETF 2025 Q1 持仓 15 只披露，前 10 大合计 49.27% 权重,akshare fund_portfolio_hold_em,verified,L2,2025-04-21,2026-06-07,fund_portfolio_hold_em(akshare),monitoring_loop,industry-concept-analysis,high,fund_portfolio_hold_em(akshare),基金合同法定义务披露季报,reported_fact,current,no_conflict,use_as_is,incremental
CLM-002,portfolio,fact,中际旭创 (300308) 持仓 7.04%，光模块全球 1.6T 龙头,akshare + 公司公告,verified,L2,2025-04-21,2026-06-07,fund_portfolio_hold_em(akshare),monitoring_loop,industry-concept-analysis,high,fund_portfolio_hold_em(akshare),季报披露 + 行业共识,reported_fact,current,no_conflict,use_as_is,incremental
CLM-003,portfolio,fact,新易盛 (300502) 持仓 5.54%，光模块 800G/1.6T 第二,akshare + 公司公告,verified,L2,2025-04-21,2026-06-07,fund_portfolio_hold_em(akshare),monitoring_loop,industry-concept-analysis,high,fund_portfolio_hold_em(akshare),季报披露,reported_fact,current,no_conflict,use_as_is,incremental
CLM-004,portfolio,fact,沪电股份 (002463) 持仓 3.50%，AI 服务器高多层 PCB 核心,akshare + 公司公告,verified,L2,2025-04-21,2026-06-07,fund_portfolio_hold_em(akshare),monitoring_loop,industry-concept-analysis,high,fund_portfolio_hold_em(akshare),季报披露 + 卖方研报,reported_fact,current,no_conflict,use_as_is,incremental
CLM-005,portfolio,fact,中兴通讯 (000063) 持仓 8.78%，A 股通信设备龙头,akshare + 公司公告,verified,L2,2025-04-21,2026-06-07,fund_portfolio_hold_em(akshare),monitoring_loop,industry-concept-analysis,high,fund_portfolio_hold_em(akshare),季报披露,reported_fact,current,no_conflict,use_as_is,incremental
CLM-006,financials,company_claim,中际旭创 2025 Q1 营收同比 +76%，1.6T 量产爬坡,中际旭创业绩预告,verified,L2,2025-04-21,2026-06-07,中际旭创 2025 Q1 业绩公告,monitoring_loop,industry-concept-analysis,high,公司业绩预告,公司业绩说明会,reported_fact,current,no_conflict,use_as_is,incremental
CLM-007,financials,company_claim,沪电股份 2024 年报 AI 服务器 PCB 收入占比 25-30%,沪电股份 2024 年报,verified,L2,2025-03-15,2026-06-07,沪电股份 2024 年报,monitoring_loop,industry-concept-analysis,medium,公司年报披露,公司年报,reported_fact,current,no_conflict,use_as_is,incremental
CLM-008,financials,company_claim,长电科技 Chiplet 产能 2025 H1 扩产 30%,长电科技 2025 Q1 业绩,verified,L2,2025-04-25,2026-06-07,长电科技 2025 Q1 业绩公告,monitoring_loop,industry-concept-analysis,medium,公司业绩说明会,公司业绩说明会,company_claim,current,no_conflict,use_as_is,incremental
CLM-009,market,forecast,Lightcounting 预测 2025 全球 800G 光模块出货 +120% YoY,Lightcounting 2025 Q1 报告,verified,L4,2025-04-30,2026-06-07,Lightcounting 2025 Q1 报告,monitoring_loop,industry-concept-analysis,high,行业权威预测,行业权威预测,forecast,current,no_conflict,use_as_is,incremental
CLM-010,market,forecast,Lightcounting 预测 2026 全球 1.6T 光模块出货 100 万件,Lightcounting 2025 Q1 报告,verified,L4,2025-04-30,2026-06-07,Lightcounting 2025 Q1 报告,monitoring_loop,industry-concept-analysis,medium,行业预测,行业预测,forecast,current,no_conflict,use_as_is,incremental
